lead_created_pst,campaign_name,ad_group,cost,expected_revenue,clicks,conversions,contact_rate,referral_rate,ref_ms _rate
5/31/24,Campaign ABC,AG 1,0,0,0,0,,,
5/31/24,Campaign ABC,AG2,0,0,0,0,,,
5/31/24,Campaign ABC,AG 3,0,0,0,0,,,
5/31/24,Campaign ABC,AG 4,21.93,0,3,0,,,
5/31/24,Campaign ABC,AG 5,7.03,0,1,0,,,
5/31/24,Campaign ABC,AG 6,12.46,0,2,0,,,
5/31/24,Campaign ABC,AG 7,11.72,0,2,0,,,
5/31/24,Campaign ABC,AG 8,21.84,0,6,0,,,
5/31/24,Campaign ABC,AG 9,0,0,0,0,,,
5/31/24,Campaign ABC,AG 10,10.41,0,2,0,,,
5/31/24,Campaign ABC,AG 11,7.17,0,2,0,,,
5/31/24,Campaign ABC,AG 12,63.426378,0,13,1,1,0,
5/31/24,Campaign ABC,AG 13,43.92,0,19,0,0,0,
5/31/24,Campaign ABC,AG 14,16.57,0,12,0,,,
5/31/24,Campaign ABC,AG 16,35.09,219.1,5,2,1,1,0.5
5/31/24,Campaign ABC,AG 16,16.86,0,3,1,0,0,
5/31/24,Campaign ABC,AG 17,41.3,85.02,10,3,0.5,0.5,0.5
5/31/24,Campaign ABC,AG 19,0,0,0,0,,,
5/31/24,Campaign ABC,AG 20,23.07,1997.77,3,1,1,1,1
5/31/24,Campaign ABC,AG 21,260.11,235.24,38,4,0.5,0.75,0.333333333
5/31/24,Campaign ABC,AG 22,33.78,2242.83,4,1,1,1,0.5
5/31/24,Campaign ABC,AG 23,38.03,0,11,1,,,
5/31/24,Campaign ABC,AG 24,4.05,0,2,0,,,
5/31/24,Campaign ABC,AG 25,106.09,16.87,15,3,0.25,0.5,0
5/31/24,Campaign ABC,AG 27,1184.378196,3214.85,199,24,0.444444444,0.666666667,0.277777778
5/31/24,Campaign ABC,AG 28,39.92,1.86,12,0,1,1,1
5/31/24,Campaign ABC,AG 30,25.25,0,6,0,,,
5/31/24,Campaign ABC,AG 33,11.21,0,3,0,,,
5/31/24,Campaign ABC,AG 34,441.22,716.6,108,8,0.555555556,0.333333333,0.333333333
5/31/24,Campaign ABC,AG 35,246.43,402.58,64,5,0.285714286,0.285714286,0.5
5/31/24,Campaign ABC,AG 36,153.99,75.59,33,2,0.5,0.5,0
5/31/24,Campaign ABC,AG 37,22.73,41.45,4,1,1,1,0
5/31/24,Campaign ABC,AG 38,0,0,0,0,,,
5/31/24,Campaign ABC,AG 39,0,0,0,0,,,
5/31/24,Campaign ABC,AG 42,6.51,0,2,1,0,0,
5/31/24,Campaign ABC,AG 43,180.87,50.42,82,9,0.25,0.375,0.333333333
5/31/24,Campaign ABC,AG 44,27.6,0,8,1,,,
5/31/24,Campaign ABC,AG 45,31.12,0,10,0,,,
5/31/24,Campaign ABC,AG 46,47.85,0,11,0,,,
5/31/24,Campaign ABC,AG 47,1791.992175,1483.8,838,30,0.4,0.485714286,0.222222222
5/31/24,Campaign ABC,AG 48,6.7,0,3,0,,,
5/31/24,Campaign ABC,AG 49,8.61,0,1,0,0,0,
5/31/24,Campaign ABC,AG 50,24.24,137.32,4,1,1,1,1
5/31/24,Campaign ABC,AG 51,0,0,0,0,,,
5/31/24,Campaign ABC,AG 52,157.58,0,42,0,,,
5/31/24,Campaign ABC,AG 53,6,0,1,1,,,
5/31/24,Campaign ABC,AG 54,225.27,159.15,48,2,0.666666667,0.666666667,0
5/31/24,Campaign ABC,AG 55,1041.095651,386.19,265,23,0.555555556,0.407407407,0.272727273
5/31/24,Campaign ABC,AG 57,0,0,0,0,,,
5/31/24,Campaign ABC,AG 59,0,0,0,0,,,
5/31/24,Campaign ABC,AG 60,17.42,0,4,0,,,
5/31/24,Campaign ABC,AG 6,27.52,0,6,1,1,0,
5/31/24,Campaign ABC,AG 64,13.73,0,3,0,,,
5/31/24,Campaign ABC,AG 65,33.88,0,4,1,1,0,
5/31/24,Campaign ABC,AG 66,29.04,402.06,6,2,0.666666667,0.666666667,0.5
5/31/24,Campaign ABC,AG 67,210.6,156.4,35,8,0.777777778,0.444444444,0
5/31/24,Campaign ABC,AG 70,0,0,0,0,,,
5/31/24,Campaign ABC,AG 71,1.37,0,1,0,,,
5/30/24,Campaign ABC,AG 1,0,0,0,0,,,
5/30/24,Campaign ABC,AG2,0,0,0,0,,,
5/30/24,Campaign ABC,AG 3,0,0,0,0,,,
5/30/24,Campaign ABC,AG 4,38.36,0,7,0,,,
5/30/24,Campaign ABC,AG 5,0,0,0,0,,,
5/30/24,Campaign ABC,AG 6,12.22,0,2,0,0,0,
5/30/24,Campaign ABC,AG 7,0,0,0,0,,,
5/30/24,Campaign ABC,AG 8,14.63,0,5,0,,,
5/30/24,Campaign ABC,AG 9,0,0,0,0,,,
5/30/24,Campaign ABC,AG 10,17.93,10.44,4,0,0,1,0
5/30/24,Campaign ABC,AG 11,42.95,0,8,0,,,
5/30/24,Campaign ABC,AG 12,62.31,26.82,13,1,0,1,0
5/30/24,Campaign ABC,AG 13,24.09,0,12,1,,,
5/30/24,Campaign ABC,AG 14,7.16,0,4,0,,,
5/30/24,Campaign ABC,AG 15,9.93,0,1,0,,,
5/30/24,Campaign ABC,AG 16,7.5,0,3,0,,,
5/30/24,Campaign ABC,AG 17,93.21,23.17,16,2,1,0.5,0
5/30/24,Campaign ABC,AG 19,14.53,0,3,0,,,
5/30/24,Campaign ABC,AG 20,16.55,0,2,0,,,
5/30/24,Campaign ABC,AG 21,352.46,0,50,2,0.666666667,0,
5/30/24,Campaign ABC,AG 22,38.52,80,5,2,0.5,0.5,1
5/30/24,Campaign ABC,AG 23,22.38,0,8,1,0,0,
5/30/24,Campaign ABC,AG 24,7.03,0,4,0,,,
5/30/24,Campaign ABC,AG 25,162.44,86.43,20,2,1,1,0
5/30/24,Campaign ABC,AG 27,1151.090697,2699.96,189,29,0.513513514,0.432432432,0.3125
5/30/24,Campaign ABC,AG 28,61.69,190.54,16,2,0.5,0.5,1
5/30/24,Campaign ABC,AG 29,0,0,0,0,,,
5/30/24,Campaign ABC,AG 30,33,0,10,1,,,
5/30/24,Campaign ABC,AG 33,2.23,0,1,0,,,
5/30/24,Campaign ABC,AG 34,575.092722,73.59,122,8,0.625,0.375,0
5/30/24,Campaign ABC,AG 35,174.149188,0,59,2,0,0,
5/30/24,Campaign ABC,AG 36,252.9,207.99,48,5,0.4,0.6,0.333333333
5/30/24,Campaign ABC,AG 37,14.05,0,3,1,0,0,
5/30/24,Campaign ABC,AG 38,1.55,0,1,0,,,
5/30/24,Campaign ABC,AG 42,0,0,0,0,,,
5/30/24,Campaign ABC,AG 43,262.97,0,123,6,0.2,0.2,0
5/30/24,Campaign ABC,AG 44,38.916718,0,14,0,0,0,
5/30/24,Campaign ABC,AG 45,36.93,1.29,10,2,1,0.5,0
5/30/24,Campaign ABC,AG 46,79.11,0,18,0,,,
5/30/24,Campaign ABC,AG 47,1765.703941,5339.91,948,48,0.323943662,0.438028169,0.25
5/30/24,Campaign ABC,AG 48,9.7,0,4,0,,,
5/30/24,Campaign ABC,AG 49,9.65,0,1,1,0,0,
5/30/24,Campaign ABC,AG 50,17.66,0,2,0,,,
5/30/24,Campaign ABC,AG 52,217.554686,0,62,5,0,0,
5/30/24,Campaign ABC,AG 53,0,0,0,0,,,
